TGF_ID,UTC_Date,UTC_Time,fermi_lat,fermi_lon
TGF081001392, 2008-10-01, 09:24:44.9137,10.5345,162.672
TGF081113322, 2008-11-13, 07:44:04.23680,2.9078,7.325
TGF081123874, 2008-11-23, 20:58:42.32120,-16.039,129.8764
TGF090808739b, 2009-08-08, 17:44:49.52857,2.644,303.3364
TGF090828147, 2009-08-28, 03:31:50.20695,22.7884,252.8422
TGF091130219, 2009-11-30, 05:15:32.96507,-12.0941,132.5956
TGF091213876, 2009-12-13, 21:01:50.47540,-15.8434,140.6039
TGF091227540, 2009-12-27, 12:58:12.30653,-4.6222,182.4693
TGF100110328, 2010-01-10, 07:52:32.49610,-13.1605,133.1257
TGF100129593, 2010-01-29, 14:14:28.53635,5.1327,86.8582
TGF100207843, 2010-02-07, 20:14:26.24650,-4.0413,107.6106
TGF100218518, 2010-02-18, 12:25:39.13185,-5.5739,139.1237
TGF100223288, 2010-02-23, 06:54:24.60842,-14.1703,165.254
TGF100304844, 2010-03-04, 20:15:59.47858,5.9588,295.1595
TGF100304845, 2010-03-04, 20:16:22.84318,6.5793,296.398
TGF100305806, 2010-03-05, 19:21:14.37670,-7.1872,124.0833
TGF100331421, 2010-03-31, 10:05:34.39985,-19.1857,183.2594
TGF100409543, 2010-04-09, 13:01:42.36578,8.0552,278.0161
TGF100501559, 2010-05-01, 13:24:25.37008,0.4018,118.6324
TGF100513287, 2010-05-13, 06:53:33.23543,15.5731,90.9499
TGF100606292b, 2010-06-06, 07:01:03.17825,7.2148,283.6996
TGF100616900, 2010-06-16, 21:35:56.40180,8.7362,339.7588
TGF100620481, 2010-06-20, 11:33:02.47687,6.3469,108.0711
TGF100713095, 2010-07-13, 02:16:43.38054,-5.2022,96.4265
TGF100713481, 2010-07-13, 11:32:22.67196,20.1295,253.8701
TGF100724221, 2010-07-24, 05:18:38.04952,20.587,262.7679
TGF100727854, 2010-07-27, 20:29:47.15255,19.6298,285.8207
TGF100728940, 2010-07-28, 22:32:59.86935,-2.3317,23.796
TGF100801756, 2010-08-01, 18:08:33.19441,11.3982,260.3076
TGF100802897, 2010-08-02, 21:31:37.28904,25.1124,279.8875
TGF100803822, 2010-08-03, 19:43:53.74235,25.7025,281.5153
TGF100805032, 2010-08-05, 00:45:26.80229,3.0002,284.8918
TGF100807804, 2010-08-07, 19:17:15.81356,24.8313,278.2472
TGF100811503, 2010-08-11, 12:04:55.64810,14.1311,282.7855
TGF100812853, 2010-08-12, 20:27:37.75695,8.8071,276.4578
TGF100816696, 2010-08-16, 16:41:57.39504,13.3431,292.41
TGF100817338b, 2010-08-17, 08:06:41.48873,14.3475,297.8896
TGF100818615, 2010-08-18, 14:45:29.56527,19.8407,287.6123
TGF100823380, 2010-08-23, 09:06:58.70485,25.3408,284.2762
TGF100823447, 2010-08-23, 10:44:20.86990,25.6504,267.3449
TGF100826152, 2010-08-26, 03:39:14.50400,6.3359,277.8073
TGF100828213, 2010-08-28, 05:06:27.39021,17.3036,267.1322
TGF100828281, 2010-08-28, 06:44:58.82705,20.7489,253.6133
TGF100829001a, 2010-08-29, 00:01:09.86569,0.8907,298.7519
TGF100829001b, 2010-08-29, 00:01:20.52850,1.1805,299.3108
TGF100829420, 2010-08-29, 10:05:12.57977,22.0226,265.2246
TGF100903334, 2010-09-03, 08:00:16.65829,9.2358,296.0249
TGF100905109, 2010-09-05, 02:37:08.07046,25.1907,281.1131
TGF100909539, 2010-09-09, 12:56:25.15915,6.153,26.6987
TGF100911473, 2010-09-11, 11:20:39.17535,24.4932,93.9171
TGF100912859, 2010-09-12, 20:37:13.97581,16.7501,271.5629
TGF100912860, 2010-09-12, 20:37:47.11740,17.4448,273.4751
TGF100912943, 2010-09-12, 22:38:01.04602,17.2555,341.8617
TGF100916059, 2010-09-16, 01:25:33.24985,16.7735,277.367
TGF100920971, 2010-09-20, 23:18:14.81200,5.2556,298.9947
TGF100923883, 2010-09-23, 21:11:00.54157,16.9894,280.0572
TGF100925319, 2010-09-25, 07:39:34.31820,7.5054,346.9394
TGF100927333, 2010-09-27, 07:59:49.52919,10.9898,106.7809
TGF100929431, 2010-09-29, 10:20:44.02960,10.5031,281.6784
TGF101003735, 2010-10-03, 17:38:14.53260,-2.4652,111.3638
TGF101007324, 2010-10-07, 07:46:25.71857,17.0486,276.2615
TGF101008251, 2010-10-08, 06:01:49.88089,15.5178,290.9147
TGF101009134, 2010-10-09, 03:13:32.04832,11.246,86.5513
TGF101009389, 2010-10-09, 09:19:52.02178,25.6097,292.5771
TGF101012231, 2010-10-12, 05:32:31.84679,18.6392,276.7888
TGF101012443, 2010-10-12, 10:38:15.73904,21.9986,277.0131
TGF101013157, 2010-10-13, 03:45:43.74115,14.3142,283.8419
TGF101018065, 2010-10-18, 01:33:02.13122,17.619,288.3677
TGF101019129, 2010-10-19, 03:05:48.12130,22.9309,277.3038
TGF101021973, 2010-10-21, 23:20:30.99739,10.3471,272.1794
TGF101022830b, 2010-10-22, 19:55:44.89319,0.9791,296.4166
TGF101026710, 2010-10-26, 17:02:43.56850,-4.4083,136.8202
TGF101118249, 2010-11-18, 05:58:56.79781,0.9599,117.3707
TGF101123225, 2010-11-23, 05:23:55.84761,-6.9565,104.3661
TGF101124661, 2010-11-24, 15:51:28.23950,24.4946,172.5865
TGF101129417, 2010-11-29, 10:01:04.72519,-7.9414,135.7731
TGF101210864, 2010-12-10, 20:44:50.51309,-16.3524,120.7657
TGF101217050, 2010-12-17, 01:12:03.10268,-12.8726,119.9609
TGF101219539, 2010-12-19, 12:56:06.37015,6.7425,118.8477
TGF101224783, 2010-12-24, 18:47:50.10067,-9.1469,24.126
TGF110106532, 2011-01-06, 12:46:15.17530,-19.4553,129.4221
TGF110106533, 2011-01-06, 12:47:32.44164,-17.9575,133.9544
TGF110107246, 2011-01-07, 05:54:54.49020,-19.1929,139.9428
TGF110112416, 2011-01-12, 09:58:24.98873,-15.5421,28.2079
TGF110113361, 2011-01-13, 08:40:17.77873,-18.3202,141.9486
TGF110117247, 2011-01-17, 05:55:59.47655,2.3115,11.5439
TGF110125162, 2011-01-25, 03:52:43.25758,-19.0132,120.2725
TGF110127067, 2011-01-27, 01:36:17.68887,-15.3368,40.1521
TGF110205809, 2011-02-05, 19:25:08.61535,-8.7024,41.3192
TGF110215690a, 2011-02-15, 16:32:55.03864,-13.7878,19.9565
TGF110216045, 2011-02-16, 01:04:47.61193,-6.9474,23.8696
TGF110217556, 2011-02-17, 13:20:11.64940,-25.6594,109.8367
TGF110218205, 2011-02-18, 04:54:35.46567,-4.6414,154.108
TGF110219269, 2011-02-19, 06:27:44.32842,-13.4005,142.5397
TGF110219407, 2011-02-19, 09:45:30.53460,-21.602,117.7079
TGF110222610, 2011-02-22, 14:37:48.97243,-3.7961,136.632
TGF110225380a, 2011-02-25, 09:06:31.86616,-25.7173,118.9893
TGF110227440, 2011-02-27, 10:33:42.78745,-21.6289,113.0146
TGF110228636, 2011-02-28, 15:15:29.44019,-17.9466,46.4497
TGF110302625, 2011-03-02, 15:00:15.03262,-16.915,38.01
TGF110304547, 2011-03-04, 13:07:56.83774,-17.8587,48.4392
TGF110311230, 2011-03-11, 05:31:16.70919,-23.3153,36.2016
TGF110314565, 2011-03-14, 13:33:00.28668,-2.9294,0.6131
TGF110315069, 2011-03-15, 01:39:57.71141,-14.2926,32.9871
TGF110316419, 2011-03-16, 10:03:08.95461,-7.4307,29.1326
TGF110317788, 2011-03-17, 18:54:28.91287,-15.0112,115.2823
TGF110317983, 2011-03-17, 23:36:10.57767,-8.0884,26.6633
TGF110323880, 2011-03-23, 21:07:36.86612,-0.5418,2.1365
TGF110325736, 2011-03-25, 17:39:55.36573,0.4479,37.6294
TGF110326802, 2011-03-26, 19:15:22.31835,-12.2482,33.3196
TGF110406608, 2011-04-06, 14:36:13.77355,-13.4271,22.3134
TGF110419334b, 2011-04-19, 08:01:00.65990,-8.337,10.5997
TGF110420449, 2011-04-20, 10:47:01.58997,17.4904,262.0093
TGF110420450, 2011-04-20, 10:47:22.29916,17.0587,263.2049
